id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
2564464,Pokemon Promo,Groudon EX [Holo] #2,$130.00,$107.50,$224.87,$317.50,$349.00,$882.86,$1148.00,$590.00,$530.00,,,$71.50,$143.00,$59.00,$118.00,$123.50,$247.00,,126,Pokemon Card,85928,,,
10809740,Pokemon Promo,Groudon [Jumbo] #52,,,,,,,,,,,,,,,,,,,0,Pokemon Card,,,,2025-01-01
8797638,Pokemon Promo,Groudon [Jumbo] #XY52,$16.25,,,,,,,,,,,$4.50,$17.99,,,,,,29,Pokemon Card,,,,
845006,Pokemon Promo,Grovyle #004,$94.95,$56.01,$66.50,$107.39,$118.00,$212.36,$276.00,$170.00,$127.00,,,$52.00,$104.00,$24.80,$61.99,$29.20,$72.99,,40,Pokemon Card,85934,,,2003-10-01
10809791,Pokemon Promo,Grovyle [Jumbo] #4,,,,,,,,,,,,,,,,,,,0,Pokemon Card,,,,2025-01-01
5298576,Pokemon Promo,Growlithe #24,$1.38,$7.75,$18.69,$21.00,$23.00,$83.97,$109.00,$20.00,$50.00,,,,$1.49,$1.70,$8.49,$6.30,$20.99,,337,Pokemon Card,500563,,,
845000,Pokemon Promo,Gumshoos #SM97,$4.05,,$25.24,$32.99,$36.00,$62.13,$81.00,$50.00,$37.00,,,$0.90,$4.49,,,$8.40,$27.99,,45,Pokemon Card,158169,,,2016-11-18
3964423,Pokemon Promo,Gumshoos [Prerelease Staff] #SM97,$25.52,,,$57.68,$63.00,$174.27,$227.00,$139.00,$105.00,,,$8.40,$27.99,,,,,,7,Pokemon Card,158170,,,
844570,Pokemon Promo,Gyarados #XY109,$45.18,$66.65,$177.00,$347.37,$382.00,$3849.99,$5005.00,$3080.00,$2310.00,,,$20.00,$49.99,$29.20,$72.99,$97.50,$195.00,,187,Pokemon Card,177110,,,2013-10-12
844725,Pokemon Promo,Gyarados #XY60,$305.91,$294.50,$473.41,$700.00,$770.00,$2733.74,$3554.00,$2187.00,$1640.00,,,$168.50,$337.00,$162.00,$324.00,$312.60,$521.00,,68,Pokemon Card,102802,,,2013-10-12
844567,Pokemon Promo,Gyarados EX #XY106,$15.03,$26.70,$37.96,$61.65,$68.00,$378.48,$492.00,$303.00,$227.00,,,$4.30,$16.99,$8.70,$28.99,$16.80,$41.99,,253,Pokemon Card,117701,,,2013-10-12
844900,Pokemon Promo,Gyarados GX #SM212,$3.12,$15.76,$16.49,$19.45,$20.25,$69.00,$90.00,$33.74,$21.89,,,,$3.39,$4.30,$16.99,$4.50,$17.99,,810,Pokemon Card,197875,,,2016-11-18
10809695,Pokemon Promo,Gyarados GX [Jumbo] #215,,,,,,,,,,,,,,,,,,,0,Pokemon Card,,,,2025-01-01
11469096,Pokemon Promo,Gyarados GX [Jumbo] #SM212,$6.16,$41.00,,,,,,,,,,$1.40,$6.79,$18.00,$44.99,,,,101,Pokemon Card,205167,,,
4317266,Pokemon Promo,Gyarados [Prerelease Staff] #XY60,$197.94,$165.00,$362.59,$399.00,$439.00,,,,,,,$109.00,$218.00,$91.00,$182.00,$199.50,$399.00,,6,Pokemon Card,102803,,,
844677,Pokemon Promo,Gym Badge #XY203,$16.99,$8.51,$16.90,$36.00,$40.00,$130.77,$170.00,$105.00,$78.00,,,$4.80,$18.99,$1.90,$9.39,$4.80,$18.99,,95,Pokemon Card,127141,,,2013-10-12
844678,Pokemon Promo,Gym Badge #XY204,$34.20,$21.00,$26.00,$60.00,$66.00,$714.03,$928.00,$571.00,$428.00,,,$15.20,$37.99,$6.90,$22.99,$8.70,$28.99,,85,Pokemon Card,127142,,,2013-10-12
844679,Pokemon Promo,Gym Badge #XY205,$12.45,$9.00,$11.75,$44.25,$49.00,$401.20,$522.00,$321.00,$241.00,,,$3.50,$13.99,$2.00,$9.89,$3.30,$12.99,,80,Pokemon Card,127143,,,2013-10-12
844680,Pokemon Promo,Gym Badge #XY206,$19.86,$16.17,$23.88,$44.99,$49.00,$212.21,$276.00,$170.00,$127.00,,,$6.60,$21.99,$4.50,$17.99,$7.80,$25.99,,98,Pokemon Card,127144,,,2013-10-12
844681,Pokemon Promo,Gym Badge #XY207,$13.02,$13.96,$20.00,$34.99,$38.00,$149.51,$194.00,$120.00,$90.00,,,$3.50,$13.99,$3.80,$14.99,$6.60,$21.99,,116,Pokemon Card,127145,,,2013-10-12
844682,Pokemon Promo,Gym Badge #XY208,$20.20,$15.00,$47.42,$85.00,$94.00,$750.00,$975.00,$600.00,$450.00,,,$6.60,$21.99,$4.30,$16.99,$20.80,$51.99,,96,Pokemon Card,129720,,,2013-10-12
844683,Pokemon Promo,Gym Badge #XY209,$12.28,$21.00,$26.00,$29.00,$32.00,$388.90,$506.00,$311.00,$233.00,,,$3.50,$13.99,$6.90,$22.99,$8.70,$28.99,,71,Pokemon Card,129718,,,2013-10-12
844685,Pokemon Promo,Gym Badge #XY210,$20.52,$16.00,$32.05,$75.11,$83.00,$414.99,$539.00,$332.00,$249.00,,,$6.90,$22.99,$4.50,$17.99,$10.50,$34.99,,91,Pokemon Card,129719,,,2013-10-12
1656571,Pokemon Promo,Hatenna #SWSH040,$1.61,,$7.56,$8.00,$9.00,$19.23,$25.00,$15.00,$12.00,,,,$1.79,,,$1.70,$8.29,,257,Pokemon Card,232768,,,2020-04-26
1656585,Pokemon Promo,Hatterene V #SWSH055,$0.78,$9.25,$9.50,$10.00,$11.00,$22.75,$30.00,$22.50,$14.00,,,,$0.99,$2.00,$9.99,$2.00,$9.99,,317,Pokemon Card,223755,,,2020-04-26
10809503,Pokemon Promo,Hatterene V [Jumbo] #55,,,,,,,,,,,,,,,,,,,0,Pokemon Card,,,,2025-01-01
5917425,Pokemon Promo,Hatterene V [Jumbo] #swsh055,$2.59,,,,,,,,,,,,$2.89,,,,,,28,Pokemon Card,,,,
10982980,Pokemon Promo,Haunter #27,$43.08,$25.00,$38.48,$65.00,$72.00,$1334.85,$1735.00,$1068.00,$801.00,,,$18.80,$46.99,$8.40,$27.99,$16.80,$41.99,,1168,Pokemon Card,659232,,,
5058647,Pokemon Promo,Hawlucha #7,$7.58,,,$126.57,$139.00,$152.00,$198.00,$122.00,$91.00,,,$1.70,$8.29,,,,,,124,Pokemon Card,,,,
9569235,Pokemon Promo,Hawlucha [Staff] #7,$119.99,,$76.17,$84.00,$92.00,,,,,,,$66.00,$132.00,,,$33.60,$83.99,,27,Pokemon Card,522649,,,
1563453,Pokemon Promo,Haxorus #BW57,$12.00,,$59.00,$71.53,$79.00,$174.45,$227.00,$140.00,$105.00,,,$3.30,$12.99,,,$26.00,$64.99,,39,Pokemon Card,86035,,,2011-04-26
844999,Pokemon Promo,Heatran #SM96,$6.56,,,$17.27,$19.00,$69.05,$66.50,$55.00,$41.00,,,$1.40,$7.19,,,,,,13,Pokemon Card,158172,,,2016-11-18
845073,Pokemon Promo,Heatran LV.X #DP31,$14.30,$48.86,$149.11,$302.50,$325.00,$331.78,$431.00,$265.00,$199.00,,,$4.00,$15.99,$21.60,$53.99,$82.00,$164.00,,95,Pokemon Card,86055,,,2007-05-01
